ev:        1379  track:           0 phi: 2140, theta:  38
ev:        1389  track:           0 phi: 2340, theta:  50
ev:        1399  track:           0 phi: 2196, theta:   7
ev:        1409  track:           0 phi: 1104, theta:  56
ev:        1419  track:           0 phi: 1508, theta:  54
ev:        1429  track:           0 phi: 3244, theta:  35
ev:        1439  track:           0 phi: 2220, theta:  83
ev:        1449  track:           0 phi: 1416, theta:  65
ev:        1459  track:           0 phi: 3804, theta:   7
ev:        1469  track:           0 phi:  356, theta:  11
ev:        1479  track:           0 phi: 2576, theta:  51
ev:        1489  track:           0 phi: 1180, theta:  12
ev:        1499  track:           0 phi: 1900, theta:  12
ev:        1509  track:           0 phi: 1704, theta:  68
ev:        1519  track:           0 phi: 4766, theta:  17
ev:        1529  track:           0 phi: 4428, theta:  31
ev:        1539  track:           0 phi: 3912, theta: 107
ev:        1549  track:           0 phi: 1068, theta:  87
ev:        1559  track:           0 phi:  788, theta:  12
ev:        1569  track:           0 phi: 1804, theta:  41
ev:        1579  track:           0 phi: 2404, theta:  15
ev:        1589  track:           0 phi: 3428, theta:   8
ev:        1599  track:           0 phi: 3412, theta:  63
ev:        1609  track:           0 phi: 1660, theta:   7
ev:        1619  track:           0 phi: 3788, theta:  92
ev:        1629  track:           0 phi: 3388, theta:   7
ev:        1639  track:           0 phi: 2845, theta:  54
ev:        1649  track:           0 phi: 4796, theta: 105
ev:        1659  track:           0 phi: 1756, theta:  11
ev:        1669  track:           0 phi: 1650, theta:  20
ev:        1679  track:           0 phi: 2972, theta:  92
ev:        1689  track:           0 phi: 3424, theta:  70
ev:        1699  track:           0 phi: 3184, theta:  69
ev:        1709  track:           0 phi: 3268, theta:  45
ev:        1719  track:           0 phi: 2456, theta:  82
ev:        1729  track:           0 phi: 4110, theta:  13
ev:        1739  track:           0 phi: 4404, theta:  50
ev:        1749  track:           0 phi: 3236, theta:  32
ev:        1759  track:           0 phi: 2060, theta:  33
ev:        1769  track:           0 phi:  996, theta:  46
ev:        1779  track:           0 phi: 1836, theta:   8
ev:        1789  track:           0 phi: 4068, theta:  44
ev:        1799  track:           0 phi: 1356, theta:  51
ev:        1809  track:           0 phi: 3492, theta:  10
ev:        1819  track:           0 phi: 2788, theta:   6
ev:        1829  track:           0 phi: 4044, theta:  38
ev:        1839  track:           0 phi: 1860, theta:  84
ev:        1849  track:           0 phi: 2298, theta:  24
ev:        1859  track:           0 phi: 3982, theta:  26
ev:        1869  track:           0 phi: 4212, theta:  35
ev:        1879  track:           0 phi: 1932, theta:  80
ev:        1889  track:           0 phi: 4932, theta:  26
ev:        1899  track:           0 phi: 1044, theta:  18
ev:        1909  track:           0 phi: 1804, theta:   6
ev:        1919  track:           0 phi: 3424, theta:  60
ev:        1929  track:           0 phi: 2068, theta:   9
ev:        1939  track:           0 phi: 2134, theta:  13
ev:        1949  track:           0 phi: 2916, theta:  14
ev:        1959  track:           0 phi: 2208, theta:  56
ev:        1969  track:           0 phi: 1020, theta:  52
ev:        1979  track:           0 phi:  930, theta:  10
ev:        1989  track:           0 phi: 2524, theta:  84
ev:        1999  track:           0 phi:  580, theta:   6
ev:        2009  track:           0 phi: 3916, theta:  12
ev:        2019  track:           0 phi: 3012, theta: 101
ev:        2029  track:           0 phi:  708, theta:  16
ev:        2039  track:           0 phi:  796, theta:  14
ev:        2049  track:           0 phi: 1318, theta:  28
ev:        2059  track:           0 phi: 2668, theta:  21
ev:        2069  track:           0 phi: 1560, theta:  97
ev:        2079  track:           0 phi: 4937, theta:  74
ev:        2089  track:           0 phi: 1060, theta:   9
ev:        2099  track:           0 phi:  636, theta:  35
ev:        2109  track:           0 phi: 2636, theta:  16
ev:        2119  track:           0 phi:  572, theta:  14
ev:        2129  track:           0 phi: 1340, theta:  76
ev:        2139  track:           0 phi: 2500, theta:  20
ev:        2149  track:           0 phi: 3175, theta:  88
ev:        2159  track:           0 phi: 4776, theta:  70
ev:        2169  track:           0 phi: 1900, theta:  35
ev:        2179  track:           0 phi: 1956, theta:  43
ev:        2189  track:           0 phi: 1652, theta:  11
ev:        2199  track:           0 phi: 2729, theta:  52
ev:        2209  track:           0 phi: 2264, theta:  57
ev:        2219  track:           0 phi: 1540, theta:  31
ev:        2229  track:           0 phi: 1348, theta:   5
ev:        2239  track:           0 phi: 4284, theta:  26
ev:        2249  track:           0 phi: 2028, theta:  15
ev:        2259  track:           0 phi: 2355, theta:  71
ev:        2279  track:           0 phi: 3732, theta:  24
ev:        2299  track:           0 phi: 3684, theta:  11
ev:        2309  track:           0 phi: 4532, theta:  39
ev:        2319  track:           0 phi: 2204, theta: 104
ev:        2329  track:           0 phi: 3740, theta:  13
ev:        2339  track:           0 phi: 4484, theta:   8
ev:        2349  track:           0 phi: 4684, theta:  35
ev:        2359  track:           0 phi: 1620, theta:  89
ev:        2369  track:           0 phi: 2225, theta: 105
ev:        2379  track:           0 phi:  396, theta:  22
ev:        2389  track:           0 phi: 3292, theta:  10
ev:        2399  track:           0 phi: 3676, theta:  65
ev:        2409  track:           0 phi: 4296, theta:  75
ev:        2419  track:           0 phi: 2132, theta:  12
